pH,Soil EC,Phosphorus,Potassium,Urea,T.S.P,M.O.P,Moisture,Temperature,Plant Type
6.021427916,0.237700473,15.98794727,133.2061927,45.62737295,16.95280934,23.36207365,79.2340059,52.09408267,Carrots
6.342419803,0.211844237,15.30590564,137.8565363,59.46088736,18.37872321,22.14360604,75.61288905,51.34976017,Carrots
6.684784027,0.290343444,14.77895887,132.9942571,53.56738264,17.20736548,27.44897681,77.27783323,61.16207181,Carrots
6.552202819,0.407054542,12.32840757,109.7660482,41.05326309,12.08620857,21.63003498,76.42675438,72.28084319,Carrots
6.705261893,0.533823922,11.21542001,102.429536,37.25096508,14.9535497,24.00893755,76.71836839,58.710557,Carrots
6.583209418,0.36842574,10.26678133,136.5245023,54.85161946,15.87477647,25.02846966,70.98476654,53.94341867,Carrots
6.481066066,0.589031144,10.77176229,109.2542174,54.19212446,16.81743987,24.35999062,79.45191153,71.32871589,Carrots
6.453439259,0.230623054,18.49916458,144.6314529,58.78464888,11.25683969,22.18794933,71.50237899,68.00689592,Carrots
6.460593823,0.2855352,11.22359649,107.4431718,49.36361162,14.27970534,27.59532053,73.4973641,60.08182461,Carrots
6.453489933,0.530487146,18.76671718,139.3379213,58.99250854,16.01910082,28.8497256,72.01694852,73.06502887,Carrots
6.744821808,0.441436974,11.99136132,115.3148417,54.95622672,14.72252701,20.366571,71.59252624,50.79989166,Carrots
6.62461753,0.436880057,14.2028052,115.231888,53.73440627,11.40053559,26.0226991,77.53127276,59.3614627,Carrots
6.070903088,0.378101079,19.02825693,114.8496954,47.41457614,19.93509069,28.1629976,77.84549761,73.27765944,Carrots
6.248679136,0.321742867,13.70619567,141.8995352,38.00524246,18.18943956,25.86875393,74.21073286,72.34425288,Carrots
6.622953697,0.549828424,12.11288269,144.9701156,44.53280998,15.38807413,28.0777478,71.13238003,52.30753684,Carrots
6.317666245,0.444133217,11.83099209,140.8869439,47.17805318,14.41126808,20.53253694,78.08892049,61.86207793,Carrots
6.027702162,0.470694243,13.32322771,143.2127736,50.00940629,11.07574125,24.72714558,73.37977733,51.48450935,Carrots
6.654171076,0.455893021,19.64882954,107.1336614,49.77643857,16.96583079,22.59753682,77.53188414,73.39589085,Carrots
6.043885416,0.238967477,10.83218859,131.1904487,56.49450115,16.20884272,22.04757124,79.47926269,70.82196548,Carrots
6.754064949,0.451264916,19.59624202,102.2507307,35.34417427,13.10125551,23.02404428,77.97752593,62.06417731,Carrots
6.241650956,0.394225648,13.53118795,146.1470673,51.435158,18.58637779,24.84335342,71.64741793,70.91904672,Carrots
6.426930991,0.413420905,18.01214041,126.231764,31.5953405,12.85317645,20.01774535,73.716433,64.41678788,Carrots
6.049447633,0.324955802,15.01620049,131.1087069,36.40730031,10.52049087,25.13155525,73.26162125,64.80444769,Carrots
6.524148493,0.390127712,18.89350912,136.0180828,52.79036002,11.9939556,25.91958306,73.69695662,73.79126991,Carrots
6.319758855,0.504451682,18.40576484,149.0403178,36.91967143,14.4913162,26.67022532,73.8777575,51.49664293,Carrots
6.421655403,0.544494552,16.79334309,148.758542,38.38197193,19.27987658,24.68965102,74.84424995,69.33114357,Carrots
6.090058115,0.230625516,14.34442358,134.5190367,45.90946517,17.1645244,24.94118545,72.37147464,54.7508079,Carrots
6.624009584,0.429746949,18.65861715,110.7609128,58.41170007,13.42578003,22.37511254,72.21444901,53.66031696,Carrots
6.075464041,0.440853234,16.31393453,125.9671528,43.15621071,16.4831573,29.12806659,70.14553646,54.24133597,Carrots
6.166861773,0.278280802,12.9598233,146.9369354,53.63756837,11.88346099,27.67396799,77.88624754,71.67619069,Carrots
6.043358233,0.359024562,15.08319791,104.4303074,58.43195075,15.69157918,22.76265688,71.94686221,54.27918117,Carrots
6.539356986,0.361457234,12.69321922,131.7422862,33.43773525,15.05456973,29.77813975,78.75509789,55.65501344,Carrots
6.30999215,0.343400669,13.69648596,111.9213127,53.45423984,16.65121812,26.51068252,76.6452666,55.08404344,Carrots
6.090672312,0.592941574,11.6473072,111.3885191,49.73114452,11.27537309,21.61558809,73.5205907,65.95846644,Carrots
6.174468248,0.263682603,18.48277699,112.7969813,59.61530687,13.90083497,28.12699726,73.95043993,60.20739051,Carrots
6.172944053,0.528273953,11.81121178,139.5425442,51.79149325,10.43696586,28.25541455,75.65690913,55.17033669,Carrots
6.439016284,0.492265136,17.26679119,134.5719204,57.54731581,12.34144608,28.25259472,76.91964211,52.1178035,Carrots
6.519002913,0.527934214,16.3324455,142.869934,39.71841517,13.36980163,27.66689744,75.38000788,71.68722028,Carrots
6.071810676,0.316225897,15.98843234,110.4047744,33.45908175,12.99184137,23.56580149,70.42398475,64.3058782,Carrots
6.298559983,0.216364049,19.83244831,141.8950827,56.42733417,19.18302903,21.64878402,72.46472109,55.23714614,Carrots
6.075058427,0.441796439,17.89640895,108.232768,47.45094412,19.42129435,22.28784143,74.49765382,51.30648129,Carrots
6.256556378,0.241227881,15.72611027,136.0500473,34.18483929,12.63633533,27.18161471,74.23675609,74.68993889,Carrots
6.67382997,0.238204913,13.10514544,145.338428,40.8945201,18.19314816,27.43084542,76.24807131,52.83655715,Carrots
6.542179363,0.577935543,14.59497035,112.2794826,52.83262155,18.57526536,29.31066062,75.2822766,54.91722108,Carrots
6.702371935,0.524514333,11.77694118,114.655091,32.60250882,14.09314471,28.28990563,71.91802721,71.73109907,Carrots
